               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038344,           0.0083474,           0.0032529,             0.97378,             0.96093,             0.98338,             0.55297,            0.034378,           0.0050232,           0.0015243,           0.0093268,           0.0093268,           0.0093268
                  36,            0.037574,           0.0077271,           0.0061058,             0.92591,              0.9704,             0.94922,             0.47369,            0.038027,           0.0050312,           0.0014051,            0.009307,            0.009307,            0.009307
                  37,            0.038899,           0.0073638,           0.0034952,             0.95289,             0.96405,             0.97216,             0.49804,            0.039453,           0.0050034,           0.0016102,           0.0092872,           0.0092872,           0.0092872
                  38,            0.035042,           0.0080583,           0.0044317,             0.75587,             0.88516,             0.85696,             0.44379,             0.04054,           0.0051426,           0.0014412,           0.0092674,           0.0092674,           0.0092674
                  39,            0.035221,           0.0080373,           0.0042896,             0.88482,             0.91729,             0.91235,             0.47209,            0.035692,           0.0051034,           0.0012379,           0.0092476,           0.0092476,           0.0092476
                  40,            0.040553,           0.0083835,           0.0060364,             0.94329,             0.93232,             0.96851,             0.48711,            0.033626,           0.0051082,           0.0013131,           0.0092278,           0.0092278,           0.0092278
                  41,            0.037499,           0.0084552,           0.0044171,             0.96744,             0.96954,             0.97491,             0.51137,            0.037878,           0.0050006,           0.0014446,            0.009208,            0.009208,            0.009208
                  42,            0.035781,           0.0079349,           0.0041714,             0.87359,             0.91343,             0.94692,             0.46303,            0.035685,               0.005,          0.00098904,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036165,           0.0076707,           0.0036384,             0.96429,             0.93016,             0.97007,              0.5236,            0.040541,           0.0047805,           0.0010224,           0.0091684,           0.0091684,           0.0091684
                  44,            0.037414,           0.0069278,           0.0036339,             0.94117,             0.98386,             0.97196,             0.46826,            0.045721,           0.0046911,           0.0010711,           0.0091486,           0.0091486,           0.0091486
